id,slug,case_title,case_number,case_topics,case_author,news_org,faculty_notes,related_cases,redtext,teaser,description,price,pdf,abstract,teaching_note,epilogue,banner,abstract_img,thumb,link_color,title_color,authentication,faculty_only,layout,linked_cases,category_id,status_id,createdOn,school
53,Facebook Conundrum,The Facebook Conundrum: The New Haven <i>Independent</i> and the Annie Le Murder,CSJ-10-0030.0,digital media; editorial management; ethics; privacy,David Mizner,New Haven Independent,,"21,",Free,This case asks what rules exist on the use of social media in reporting news stories. The pressure is on a web-only start-up as the national press flock to a murder story in the news site's backyard. Use in courses on editorial management; the business of media; or ethics.,"<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/410/abstract_2.jpg"" /></div>_x000d_
<p>_x000d_
	<em>CSJ-10-0030.0 </em><br />_x000d_
	This case asks what rules exist on the use of social media in reporting news stories. In September 2009, the New Haven<i style=""""> Independent</i>&mdash;a recent, online, local news website&mdash;finds itself beating the national competition on the shocking story of the murder of Annie Le, a Yale University graduate student.<br />_x000d_
	<br />_x000d_
	<strong>This is a FREE case.</strong></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:</strong> digital media; editorial management; ethics</p>_x000d_
",0.00,New Haven Independent Text.pdf,,New Haven Independent Teaching Note.pdf,New Haven Independent Epilogue.pdf,knightcase_banner_independent.jpg,facebook.jpg,case_thumbnail.jpg,#3053ba,#3053ba,no,,standard,,17,1,4/1/2010,
54,Voices Behind Bars,Voices Behind Bars: National Public Radio and Angola State Prison,CSJ-10-0029.0,broadcast; investigative reporting; ethics,Delia Cabe,National Public Radio,,"43, 14",,,"<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/409/abstract.jpg"" /></div>_x000d_
<p>_x000d_
	<em>CSJ-10.0029.0</em><br />_x000d_
	<span style="""">This radio reporting case asks students to consider what to do when their reporting may harm the subject of the story. </span><span style="""">National Public Radio (NPR) reporter Laura Sullivan is researching the cases of two men held in solitary confinement for 36 years at the Louisiana State Penitentiary in <st1:country-region w:st=""on"">Angola</st1:country-region>, <st1:state w:st=""on""><st1:place w:st=""on"">Louisiana</st1:place></st1:state>.</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>broadcast; investigative; ethics</p>_x000d_
",5.95,National Public Radio and Angola State Prison_wm.pdf,,NPR Sullivan Teaching Note.pdf,NPR Sullivan Epilogue.pdf,knightcase_banner_npr.jpg,npr.org.jpg,,#243770,#243770,yes,,standard,,17,1,4/13/2010,
55,Into the Breach,Into the Breach: Should Student Journalists Save Local Political Reporting?,CSJ-10-0031.0,strategic management; politics reporting; media business,Jacob Levenson,University of Kentucky; Kentucky State University,,"51, 38",,"This case allows students to consider the societal debate over the business models for future journalism, whether universities have a role to play, and whether good journalism is a civic obligation. Use in courses on democracy and media; local reporting; or the business of media.","<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/432/kynews_abstract_small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-10-0031.0</i><br />_x000d_
	This case allows students to consider the societal debate over the business models for future journalism, whether universities have a role to play, and whether good journalism is a civic obligation. The University of Kentucky and Kentucky State University have an opportunity in 2009 to create a student-run news bureau in the state capital, Frankfort.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:</strong> strategic management; politics reporting; media business</p>_x000d_
",5.95,Should Student Journalists Save Local Political Reporting_wm.pdf,,Into the Breach Teaching Note.pdf,Into the Breach Epilogue.pdf,knightcase_logo_kynews.JPG,kynews_abstract_small.jpg,kynews_thumbnail.jpg,#0c43b0,#0c43b0,yes,,standard,,17,1,6/7/2010,
56,Legal Jeopardy,Legal Jeopardy: Clar&iacute;n Group and the Kirchners,CSJ-10-0033.0,media business; strategic management; international,Kathleen Gilsinan,Clarín Group,,"1, 22",,"This case is about the relationship between government and media, how media companies should manage that relationship, and the role of media in society. Use in a course on media and democracy; business of media; international journalism; or strategic management.","<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/434/clarin_abstract_small.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-10-0033.0</i><br />_x000d_
	This case is about the relationship between government and media, how media companies should manage that relationship, and the role of media in society. In 2009, the Grupo Clar&iacute;n in Argentina faced a proposed media reform law that would have a meaningful impact on its bottom line. Use this case as the basis for student discussion of the role of the press in a democracy, the ideal legal framework for a press to operate, and the competing priorities of media as a business vs. media as news purveyor.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>media business; strategic management; international</p>_x000d_
",5.95,Clarin Group and the Kirchners_wm.pdf,,Clarin Teaching Note.pdf,Clarin Epilogue.pdf,knightcase_banner_clarin.jpg,clarin_abstract_small.jpg,clarin_banner_thumbnail.jpg,#9e1313,#9e1313,yes,,standard,,17,1,8/10/2010,
57,Conflicted,Conflicted: The <i>New York Times</i> and the Bias Question,CSJ-10-0034.0PO,editorial management; ethics; international,Jacob Levenson,New York Times,,"37, 36",New,This case study examines the dilemma which confronted New York Times Executive Editor Bill Keller when critics—including the Times’  own ombudsman—called for transfer of Jerusalem Bureau Chief Ethan Bronner because his adult son had joined the Israeli Defense Forces. Use in courses on ethics; international reporting; or editorial management.,"<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/440/text only image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-10-0034.0PO</i><br />_x000d_
	<i><span class=""Apple-style-span"" style=""font-style: normal;"">This case study examines the dilemma which confronted <em>New York Times</em> Executive Editor Bill Keller in February 2010 when critics&mdash;including the <em>Times&rsquo;</em> own ombudsman&mdash;called for transfer of Jerusalem Bureau Chief Ethan Bronner because his adult son had joined the Israeli Defense Forces.</span></i></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<i><span class=""Apple-style-span"" style=""font-style: normal;""><strong>Topics:</strong> editorial management; ethics; international</span></i></p>_x000d_
",3.95,New York Times and the Bias Question_wm.pdf,,Bronner and New York Times Teaching Note.pdf,Bronner and New York Times Epilogue.pdf,Website_banner.jpg,text only image.jpg,text only image.jpg,#2947a3,#2947a3,yes,,standard,,17,1,8/23/2010,
59,Worth a Thousand Words,Worth a Thousand Words: The Associated Press and Lance Corporal Joshua Bernard,CSJ-10-0035.0,ethics; international; photojournalism; editorial decisionmaking,Kathleen Gilsinan,Associated Press,,"21, 25",,"This case about news photography examines a host of issues, from the mechanics of war photography, to the rules for embedded photographers, to the relationship between the military establishment and the media. Use in courses on photojournalism; international reporting; or government and media. ","<p>_x000d_
	&nbsp;</p>_x000d_
<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/454/abstract_small.jpg"" /></div>_x000d_
<p>_x000d_
	<em>CSJ-10-0035.0</em><br />_x000d_
	This case about news photography examines a host of issues, from the mechanics of war photography, to the rules for embedded photographers, to the relationship between the military establishment and the media.&nbsp;It looks at the controversy in September 2009 over an Associated Press photograph of a wounded Marine who subsequently died.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>international; editorial decisionmaking; photojournalism</p>_x000d_
",5.95,Associated Press and Lance Corporal Joshua Bernard_wm.pdf,,AP Photos Teaching Note.pdf,AP Photos Epilogue.pdf,ap_knightcase_banner.JPG,abstract_small.jpg,thumbnail.jpg,#a31a55,#a31a55,yes,,standard,,17,1,9/23/2010,
60,Privacidad y el Interés Público,"Privacidad y el Inter&eacute;s P&uacute;blico: Frederick, MD, <i>News-Post</i> y la Historia de Bruce Ivins. Primera Parte.",CSJ-08-0015.4PO,la ética; la privacidad,Kathleen Gilsinan,"Frederick, MD, News-Post",,25,,,"<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/455/text%20only%20image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-08-0015.4PO</i><br />_x000d_
	Este caso, en dos partes, es acerca de c&oacute;mo los medios de comunicaci&oacute;n nivelan, el derecho personal a la intimidad frente al derecho del p&uacute;blico a informarse. Se pide a los estudiantes que deben tener en cuenta cu&aacute;les son las obligaciones de un peri&oacute;dico para sus lectores, y para aquellos sobre los que escribe.</p>_x000d_
<p>_x000d_
	<strong>Temas:</strong> <span class=""short_text"" id=""result_box""><span style=""background-color: rgb(255, 255, 255);"" title=""Topics: international; investigative reporting; ethics"">la &eacute;tica; la privacidad</span></span></p>_x000d_
<p>_x000d_
	<em><strong>Facultad:</strong> Usted tendr&aacute; la oportunidad de revisar la parte B, una vez que se haya registrado.</em></p>_x000d_
",3.95,Privacidad e Interés Público text A.pdf,,La Privacidad_b.pdf,,Website_banner.jpg,text only image.jpg,,#2947a3,#2947a3,yes,,standard,,5,1,1/25/2011,
61,Privacidad e Interés Público,Privacidad e Inter&eacute;s P&uacute;blico: La Evidencia Contra Ivins. Segunda Parte.,CSJ-08-0015.5PO,la ética; la privacidad,Kathleen Gilsinan,"Frederick, MD, News-Post",,25,,,"<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/455/text%20only%20image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-08-0015.5PO</i><br />_x000d_
	Este caso, en dos partes, es acerca de c&oacute;mo los medios de comunicaci&oacute;n nivelan, el derecho personal a la intimidad frente al derecho del p&uacute;blico a informarse. Se pide a los estudiantes que deben tener en cuenta cu&aacute;les son las obligaciones de un peri&oacute;dico para sus lectores, y para aquellos sobre los que escribe.</p>_x000d_
<p>_x000d_
	Ep&iacute;logo, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Temas:</strong> <span class=""short_text"" id=""result_box""><span title=""Topics: international; investigative reporting; ethics"">la &eacute;tica; la privacidad</span></span></p>_x000d_
",3.95,Privacidad e Interés Público text B.pdf,,La Privacidad_b.pdf,,Website_banner.jpg,text only image.jpg,,#2947a3,#2947a3,yes,yes,standard,,5,1,1/26/2011,
62,Una Historia Esquiva,Una Historia Esquiva: El <i>Chicago Tribune</i> y la ley &quot;Que Ning&uacute;n Ni&ntilde;o Quede Atr&aacute;s&quot;,CSJ-09-0019.4PO,los escritos originales; informes sobre educación; la ética,Julia Ioffe,Chicago Tribune,,"30, 2",Español,"Este caso de estudio, examina el periodismo narrativo y el dilema para un reportero, cuando la historia que pretende escribir, no es la historia que ella descubre. Este caso se puede utilizar en una clase sobre los escritos originales; informes sobre educación; o ética.","<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/456/text only image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-09-0019.4PO</i><br />_x000d_
	Este caso de estudio, examina el periodismo narrativo y el dilema para un reportero, cuando la historia que pretende escribir, no es la historia que ella descubre. <span id=""result_box"" lang=""es""><span class=""hps"" title=""Click for alternate translations"">Tambi&eacute;n</span> <span class=""hps"" title=""Click for alternate translations"">examina</span> </span>la responsabilidad que tiene un periodista acerca de una fuente no familiarizada con las normas period&iacute;sticas.</p>_x000d_
<p>_x000d_
	Ep&iacute;logo, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Temas:</strong> los escritos originales; informes sobre educaci&oacute;n; <span class=""short_text"" id=""result_box""><span title=""Topics: international; investigative reporting; ethics"">la &eacute;tica</span></span></p>_x000d_
",3.95,Una Historia Esquiva text.pdf,,Una Historia Esquiva TN.pdf,Una Historia Esquiva Epilogo.pdf,Website_banner.jpg,text only image.jpg,text only image.jpg,#2947a3,#2947a3,yes,,standard,,5,1,2/1/2011,
66,Caricatured,Caricatured: <i>Le Monde</i> and the Mohammed Cartoons,CSJ-11-0036.0,international; religion reporting; news graphics; editorial decisionmaking; ethics,Kirsten Lundberg,Le Monde,,"59, 1",New,This case allows students to debate the role of religion in a secular society and the contribution the media can make to stoking or calming a conflict. Use in courses on editorial decisionmaking; religion reporting; media and democracy; or news graphics.,"<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/468/le_monde_abstract.jpg"" /></div>_x000d_
<p>_x000d_
	<em>CSJ-11-0036.0</em><br />_x000d_
	In early 2006, when news organizations across the world debated whether and how to republish Danish cartoons of the Islamic Prophet Mohammed, the influential French paper <em>Le Monde</em> found itself balancing two priorities: to respect religious beliefs and to support freedom of expression. Students can use this case to debate the role of religion in a secular society and the contribution the media can make to stoking or calming a conflict, the responsibility of news outlets to inform readers even if the information is inflammatory, the line between respect for religion and censorship, and the balance between religious beliefs and freedom of the press.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>international; religion reporting; news graphics</p>_x000d_
",5.95,Le Monde and the Mohammed Cartoons_wm.pdf,,Le Monde TN.pdf,Le Monde Epilogue.pdf,le_monde_banner_1.jpg,le_monde_abstract.jpg,le_monde_thumbnail.jpg,#ab0c0c,#ab0c0c,yes,,standard,,17,1,2/22/2011,
67,Buy It or Make It?,Buy It or Make It? The <i>Charlotte Observer</i> and the Associated Press,CSJ-11-0037.0,strategic management; editorial decisionmaking; media business,Jed Williams,Charlotte Observer; Associated Press,,55,New,This case examines the dilemma faced by US newspapers as they make painful business choices that have a dramatic impact on the editorial product. Use in courses on local journalism; the business of media; strategic management; or editorial decisionmaking.,"<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/478/abstract.jpg"" /></div>_x000d_
<p>_x000d_
	<em>CSJ-11-0037.0</em></p>_x000d_
<p>_x000d_
	This case examines the dilemma faced by US newspapers as they make painful business choices that have a dramatic impact on the editorial product. In late 2009, the <em>Charlotte</em> (NC) <em>Observer</em> considered whether to end its 135-year relationship with the venerable and once-indispensable wire service, the Associated Press.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note<br />_x000d_
	<br />_x000d_
	<strong>Topics:</strong> strategic management; editorial decisionmaking; media business</p>_x000d_
",5.95,Associated Press and Lance Corporal Joshua Bernard_wm.pdf,,AP and Charlotte Observer Teaching Note.pdf,AP and Charlotte Observer Epilogue.pdf,knightcase_banner_ap_observer.jpg,abstract.jpg,thumbnail.jpg,#007a43,#007a43,yes,,standard,,17,1,3/29/2011,
68,Jury is Out,The Jury is Out: The <i>Long Beach Post</i> and Online Local News,CSJ-11-0038.0CC,local journalism; media business; digital media; newsroom management,Jeffrey Klein; Maria Jose Vazquez,Long Beach Post,,"51, 38",Free,"This case takes a hard look behind the scenes at starting a for-profit community news website, the <i>Long Beach Post</i> (LBPOST.com). Use in courses on the business of media; online media; community news; or journalism entrepreneurship.","<p>_x000d_
	<i>CSJ-11-0038.0CC</i><br />_x000d_
	This case takes a hard look behind the scenes at starting a for-profit community news website, the <em>Long Beach Post</em> (LBPOST.com). Students can discuss the variety of challenges facing a news start-up and debate the merits of a for-profit business model. they will gain insight into the realities of journalism entrepreneurship, the competition in local media markets, and the options for community outreach.</p>_x000d_
<p>_x000d_
	<strong>This is a FREE, contributed case.</strong><br />_x000d_
	<br />_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>local journalism; media business; digital media</p>",0.00,Long Beach Post Text.pdf,,Long Beach Post Teaching Note.pdf,Long Beach Post Epilogue.pdf,Website_banner.jpg,text only image.jpg,text only image.jpg,#2947a3,#2947a3,no,,standard,,17,1,4/25/2011,
69,Dissonace,Dissonance: The Cleveland <i>Plain Dealer</i> and its Classical Music Critic,CSJ-11-0039.0,culture writing; arts criticism; local journalism; editorial management,Delia Cabe,Cleveland Plain Dealer,,"57, 36",,"This case turns to the field of art criticism, particularly music criticism, to raise for discussion the proper role for a critic. Use in courses on arts criticism; editorial management; or local media.","<div style=""float: right; padding: 10px;"">_x000d_
	<img src=""/casestudy/files/photos/484/abstract image.jpg"" /></div>_x000d_
<p>_x000d_
	<i>CSJ-11-0039.0</i><br />_x000d_
	This case turns to the field of art criticism, particularly music criticism, to raise for discussion the proper role for a critic. It looks at the experience of the Cleveland <em>Plain Dealer</em> and its longtime music critic, Donald Rosenberg. Students will come to see how challenging it is to be a critic, but also how difficult it can be for editors to manage critics in the newsroom.</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics: </strong>arts criticism; editorial management; local journalism</p>_x000d_
",5.95,Cleveland Plain Dealer and its Classical Music Critic_wm.pdf,,Cleveland Plain Dealer Teaching Note.pdf,Cleveland Plain Dealer Epilogue.pdf,cleveland_banner.jpg,abstract image.jpg,case_thumbnail.jpg,#ff0000,#ff0000,yes,,standard,,17,1,5/11/2011,
70,Friend or foe?,Friend or foe? WikiLeaks and the <i>Guardian</i>,CSJ-11-0041.0,editorial management; international; digital media; politics reporting,Kirsten Lundberg,Guardian,,"22, 1",FREE,"This case is about the celebrated collaboration between WikiLeaks, the secure website for whistleblowers, and the mainstream media--focusing on the British Guardian newspaper. Use in courses on government-media relations; managing sources; data journalism; editorial decisionmaking; or international reporting. ","<p>_x000d_
	<em>CSJ-11-0041.0</em><img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/520/wikileaks abstract.gif"" style=""float: right; "" /> This case is about the celebrated collaboration between WikiLeaks, the secure website for whistleblowers, and the mainstream media&mdash; focusing on the British <em>Guardian</em> newspaper. It raises for discussion whether the <em>Guardian </em>and its international media partners were correct to collaborate with WikiLeaks and to publish US secret government documents.</p>_x000d_
<p>_x000d_
	<strong>This is a FREE case.</strong></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<span style=""font-weight: bold;"">Topics: </span>editorial management; international; digital media; politics reporting</p>_x000d_
",Free,WikiLeaks and the Guardian.pdf,,WikiLeaks TN.pdf,Wikileaks Epilogue.pdf,knightcase_banner_wikileaks.jpg,wikileaks abstract.gif,thumbnail_wikileaks.jpg,#1f9937,#1f9937,no,,standard,,17,1,6/16/2011,
83,Rating Teachers,"Rating Teachers: a Job for Journalists? The <i>Los Angeles Times</i> and ""Value-Added"" Analysis",CSJ-11-0040.0,education reporting; public service journalism; data journalism; editorial decisionmaking,Alice Irene Pifer,Los Angeles Times,,,,This case goes behind the scenes to examine the thinking at the Los Angeles Times about a 2010 project to rank public elementary school teachers of English and math. Use it in courses on education reporting and editorial decisionmaking. ,"<p>_x000d_
	<img src=""https://gcms.jrn.columbia.edu/casestudy/files/photos/511/abstract%20image.jpg"" style=""margin-left: 10px; margin-right: 10px; margin-top: 10px; margin-bottom: 10px; float: right; "" /><em>CSJ-11-0040.0</em>&nbsp;This case goes behind the scenes to examine the thinking at the&nbsp;<em>Los Angeles&nbsp;Times</em>&nbsp;about a 2010 project to rank public elementary school teachers of English and math.&nbsp;It follows editors and reporters as they petition for existing &nbsp;student test data, and then decide whether and how to analyze it (they hire a Rand Corp. expert)&nbsp;to reveal teacher effectiveness. The key question is accountability: should the paper&nbsp;name individual teachers when it publishes the scores?</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics</strong>: education reporting; editorial decisionmaking</p>_x000d_
",$5.95,Los Angeles Times and Value Added Analysis_wm.pdf,,LA Times TN.pdf,LATimes Epilogue Final.pdf,banner.jpg,abstract image.jpg,thumbnail.jpg,,,yes,,standard,,17,1,8/31/2011,
84,Grow Your Own?,Grow Your Own? Rice Self-sufficiency in Timor-Leste,SIPA-12-0001.0,"international development, food security",Maria Y. Wang,N/A,,,,,"<p>_x000d_
	<em><img alt="""" src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/528/TL abstract pic.jpg"" style=""float: right; "" />SIPA-12-0001.0</em></p>_x000d_
<p>_x000d_
	This case examines the challenges of implementing a rice production policy in a country with&nbsp;multiple, sometimes conflicting, needs. Timor-Leste, a small Southeast Asian island nation that&nbsp;achieved independence in 2002, had decided to increase domestic rice production rather than&nbsp;increase rice imports. A 2011 20-year Strategic Development Plan called for rice self-sufficiency&nbsp;by 2020. The case asks students to take on the role of agriculture policy advisor to the prime&nbsp;minister, tasked with setting the timetable for implementing this ambitious plan.<br />_x000d_
	<br />_x000d_
	Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:</strong>&nbsp;international development, food security</p>_x000d_
",$5.95,Timor-Leste Text_wm.pdf,,Timor-Leste TN.pdf,,180-1012_Timorcorrectedv2.jpg,TL abstract pic.jpg,,#c30,#c30,yes,,standard,,15,1,1/30/2012,
85,A Woman's Place?,A Woman's Place? Photojournalist Lynsey Addario in Libya,CSJ-12-0043.0,"conflict reporting, race, gender",Nancy Zerbey,N/A,,,NEW!,"This case raises for student consideration the challenges and rewards of covering conflict, especially for women reporters._x000d_
Use it in courses on international reporting, reporting on conflict, or race/gender.","<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/573/abstract image.jpg"" style=""float: right; "" /><em>CSJ-12-0043.0</em></p>_x000d_
<p>_x000d_
	<span style=""font-size: 12px;"">This case raises for student consideration the challenges and rewards of covering conflict, especially for women reporters. In March 2011, photojournalist Lynsey Addario and three male colleagues from the </span><span style=""font-size:12px;""><em>New York Times </em></span><span style=""font-size:12px;"">were seized at gunpoint by soldiers in Libya. Use this case to discuss how female journalists and their employers deal with the &quot;silencing crime&quot;--sexual attacks.</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:&nbsp;</strong><span style=""color: rgb(0, 0, 0); font-family: arial, helvetica, verdana, sans-serif; line-height: 19px;"">reporting in conflict zones; journalism and trauma; international journalism; or race/gender</span></p>_x000d_
",5.95,Photojournalist Lynsey Addario in Libya_wm.pdf,,Addario TN.pdf,Addario Epilogue.pdf,180-01059A-WomansPlaceBanner.jpg,abstract image.jpg,Screen Shot 2012-04-03 at 9.31.11 AM.png,,,yes,,standard,,17,1,3/5/2012,
86,Personal Foul,Personal Foul? <i>Deadspin</i> and an Iconic Athlete,CSJ-12-0042.0,"ethics, sports reporting, digital journalism",Delia Cabe,Deadspin,,,,"This case looks at the differences between online and mainstream media to ask whether different editorial guidelines apply to the different platforms, and to question whether rules have changed. Use it in courses on sports reporting, digital journalism, or ethics. ","<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/569/abstract image.jpg"" style=""float: right; "" /></p>_x000d_
<p>_x000d_
	<em>CSJ-12-0042.0</em><br />_x000d_
	This case looks at the differences between online and mainstream media to ask whether different editorial guidelines apply to the different platforms, and to question whether rules have changed. In August 2010, the editor for the online blog&nbsp;<em>Deadspin</em>, A.J. Daulerio, faced a decision. Should he pay for and publish graphic photos that famed Quarterback Brett Favre had allegedly sent to reporter Jenn Sterger? The<em>&nbsp;Deadspin</em> legal counselor had concerns. Sterger herself had refused to provide the photos. Daulerio had already published the story about the photos and associated text messages. What did the photos add?</p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong>Topics:&nbsp;</strong>ethics; sports reporting; digital journalism</p>_x000d_
",5.95,Deadspin and an Iconic Athelete_wm.pdf,,Deadspin TN.pdf,Deadspin Epilogue.pdf,banner.jpg,abstract image.jpg,Screen Shot 2012-03-28 at 3.20.52 PM.png,,,yes,,standard,,17,1,3/9/2012,
87,When BEST Intentions Go Awry,When BEST Intentions Go Awry: Arsenic Mitigation in Bangladesh,MSPH-12-0003.0,"human subject research, crisis management",Ted Smalley Bowen,N/A,,,,,"<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/642/abstract image.jpg"" style=""float: right; "" /></p>_x000d_
<p>_x000d_
	<em>MSPH-12-0003.0</em></p>_x000d_
<p>_x000d_
	<span style=""font-size:12px;"">This case is about a public health response to the widespread arsenic contamination of groundwater in Bangladesh. It examines the lead-up to a 2008 media crisis that confronted a Columbia University clinical trial of a potential treatment for arsenic poisoning. The case raises for discussion the challenges of conducting research in rural, less developed and culturally insular communities. It also asks how to help communities while studying them--complicated by funding restrictions and a possible skewing of results.&nbsp;</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<strong style=""color: rgb(0, 0, 0); font-family: arial, helvetica, verdana, sans-serif; line-height: 17px;"">Topics</strong><span style=""color: rgb(0, 0, 0); font-family: arial, helvetica, verdana, sans-serif; line-height: 17px;"">: international public health research, human subject research, or crisis management. &nbsp;</span></p>_x000d_
",5.95,When BEST intentions go awry_wm.pdf,,When BEST intentions go awry TN.pdf,When BEST intentions go awry Epilogue.pdf,180-01272_ArsenicMitagion.jpg,abstract image.jpg,Screen shot 2012-05-25 at 5.10.33 PM.png,,,yes,,standard,,16,1,3/14/2012,mailman
90,CA prisoners,"Community Savings, or Community Threat? California Policy for Ill and Elderly Inmates",MSPH-12-0002.0,,Kirsten Lundberg,N/A,,,NEW!,This case looks at the challenges that confront public health professionals who work in a corrections environment.,"<p>_x000d_
	<img src=""https://casestudies.jrn.columbia.edu/casestudy/files/photos/614/abstract image.jpg"" style=""float: right; "" /><em style=""color: rgb(0, 0, 0); font-family: arial, helvetica, verdana, sans-serif; font-size: 12px; line-height: 17px; "">MSPH-12-0002.0 &nbsp;</em></p>_x000d_
<p>_x000d_
	<span style=""font-size:12px;"">This case looks at the challenges that confront public health professionals who work in a corrections environment. By 2011, a court-appointed Receiver had made progress in fixing a broken system of medical care for prisoners in California. But costs spiraled ever higher for elderly and ailing inmates. Public health officials had to balance competing public priorities: save taxpayer dollars, and treat patients. A new law allowed the sickest prisoners to move to community-based care--but now public health doctors had to decide: who qualified for medical parole? Inmate Carl Wade&#39;s case was a tough call. &nbsp;&nbsp;</span></p>_x000d_
<p>_x000d_
	Epilogue, Teaching Note</p>_x000d_
<p>_x000d_
	<span style=""color: rgb(0, 0, 0); font-family: arial, helvetica, verdana, sans-serif; font-size: 12px; line-height: 17px; ""><strong>Topics:</strong> public health policy, corrections and health care, or strategic management.</span></p>_x000d_
",5.95,California Policy for Ill and Elderly Inmates_wm.pdf,,California Policy for Ill and Elderly TN.pdf,California Policy for Ill and Elderly Epilogue.pdf,Community_Savings.jpg,abstract image.jpg,Screen shot 2012-05-25 at 1.25.23 PM.png,,,yes,,standard,,16,1,5/7/2012,mailman
